chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,consecutive_days,previous_day,peak_position,worst_position,chart_url
48,2020-10-02,04:30,Ufo361,1047,4SCM1b1vS70TtNQmO7Lo7B,04:30Ufo361,lu,1,,,48,48,https://www.spotifycharts.com/regional/lu/daily/2020-10-02
18,2021-05-14,1 0 0 . m i l ‘ (with Bas),J. Cole,1667,4n6NDfYake476trCjJRNl0,1 0 0 . m i l ‘ (with Bas)J. Cole,lu,1,,,18,18,https://www.spotifycharts.com/regional/lu/daily/2021-05-14
38,2019-11-02,1 Keer Voor Altijd,Mathias Vergels,1321,03SL74t9XXMAfki7bJPteK,1 Keer Voor AltijdMathias Vergels,lu,1,,,38,38,https://www.spotifycharts.com/regional/lu/daily/2019-11-02
45,2019-10-07,"10,000 Hours (with Justin Bieber)",Dan + Shay,1109,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)Dan + Shay",lu,1,,,45,45,https://www.spotifycharts.com/regional/lu/daily/2019-10-07
55,2019-10-25,"10,000 Hours (with Justin Bieber)",Dan + Shay,1031,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)Dan + Shay",lu,2,,,45,55,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
55,2019-10-31,"10,000 Hours (with Justin Bieber)",Dan + Shay,1024,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)Dan + Shay",lu,3,,,45,55,https://www.spotifycharts.com/regional/lu/daily/2019-10-31
55,2021-09-03,10von10,Pajel,1148,1sa59Q9urE82MD3ELi44HN,10von10Pajel,lu,1,,,55,55,https://www.spotifycharts.com/regional/lu/daily/2021-09-03
46,2021-09-17,10von10,Pajel,1106,1sa59Q9urE82MD3ELi44HN,10von10Pajel,lu,2,,,46,55,https://www.spotifycharts.com/regional/lu/daily/2021-09-17
9,2019-10-07,110,Capital Bra,1944,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,1,,,9,9,https://www.spotifycharts.com/regional/lu/daily/2019-10-07
12,2019-10-13,110,Capital Bra,1378,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,2,,,9,12,https://www.spotifycharts.com/regional/lu/daily/2019-10-13
31,2019-10-15,110,Capital Bra,1693,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,3,,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-15
28,2019-10-25,110,Capital Bra,2032,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,4,,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
30,2019-10-26,110,Capital Bra,1741,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,5,1.0,28.0,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-26
28,2019-10-30,110,Capital Bra,1700,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,6,1.0,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-30
29,2019-10-31,110,Capital Bra,1833,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,7,2.0,28.0,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-31
14,2019-11-02,110,Capital Bra,1528,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,8,2.0,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-11-02
35,2019-11-04,110,Capital Bra,1494,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,9,2.0,,9,35,https://www.spotifycharts.com/regional/lu/daily/2019-11-04
41,2019-11-05,110,Capital Bra,1626,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,10,3.0,35.0,9,41,https://www.spotifycharts.com/regional/lu/daily/2019-11-05
13,2019-11-08,110,Capital Bra,1809,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,11,3.0,,9,41,https://www.spotifycharts.com/regional/lu/daily/2019-11-08
34,2019-12-20,110,Capital Bra,1266,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,12,3.0,,9,41,https://www.spotifycharts.com/regional/lu/daily/2019-12-20
42,2019-12-21,110,Capital Bra,1173,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,13,4.0,34.0,9,42,https://www.spotifycharts.com/regional/lu/daily/2019-12-21
39,2019-12-23,110,Capital Bra,1196,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,14,4.0,,9,42,https://www.spotifycharts.com/regional/lu/daily/2019-12-23
139,2019-12-24,110,Capital Bra,1082,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,15,5.0,39.0,9,139,https://www.spotifycharts.com/regional/lu/daily/2019-12-24
45,2019-12-31,110,Capital Bra,1083,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,16,5.0,,9,139,https://www.spotifycharts.com/regional/lu/daily/2019-12-31
45,2020-01-17,110,Capital Bra,1169,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,17,5.0,,9,139,https://www.spotifycharts.com/regional/lu/daily/2020-01-17
53,2020-02-14,110,Capital Bra,1043,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,18,5.0,,9,139,https://www.spotifycharts.com/regional/lu/daily/2020-02-14
17,2020-09-11,187 Gang,Bonez MC,1768,3lHuDW8SiPtnIMmaTiDFVe,187 GangBonez MC,lu,1,,,17,17,https://www.spotifycharts.com/regional/lu/daily/2020-09-11
53,2021-03-19,2 Much,Justin Bieber,1122,0oaY19dUwZimIgzn3ZZLZO,2 MuchJustin Bieber,lu,1,,,53,53,https://www.spotifycharts.com/regional/lu/daily/2021-03-19
35,2019-10-25,200 km/h,Apache 207,1519,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,1,,,35,35,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
45,2019-10-26,200 km/h,Apache 207,1166,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,2,1.0,35.0,35,45,https://www.spotifycharts.com/regional/lu/daily/2019-10-26
52,2019-10-31,200 km/h,Apache 207,1041,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,3,1.0,,35,52,https://www.spotifycharts.com/regional/lu/daily/2019-10-31
69,2019-11-05,200 km/h,Apache 207,1013,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,4,1.0,,35,69,https://www.spotifycharts.com/regional/lu/daily/2019-11-05
44,2019-11-08,200 km/h,Apache 207,1077,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,5,1.0,,35,69,https://www.spotifycharts.com/regional/lu/daily/2019-11-08
51,2019-12-20,200 km/h,Apache 207,1001,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,6,1.0,,35,69,https://www.spotifycharts.com/regional/lu/daily/2019-12-20
94,2020-12-24,2000 Miles - 2007 Remaster,Pretenders,1962,5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 RemasterPretenders,lu,1,,,94,94,https://www.spotifycharts.com/regional/lu/daily/2020-12-24
94,2020-12-25,2000 Miles - 2007 Remaster,Pretenders,1208,5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 RemasterPretenders,lu,2,1.0,94.0,94,94,https://www.spotifycharts.com/regional/lu/daily/2020-12-25
42,2019-10-07,2002,Sido,1143,2u8AXJyk8pICzj2wyPBL0b,2002Sido,lu,1,,,42,42,https://www.spotifycharts.com/regional/lu/daily/2019-10-07
49,2019-10-25,2002,Sido,1135,2u8AXJyk8pICzj2wyPBL0b,2002Sido,lu,2,,,42,49,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
50,2020-07-03,2003,JURI,1260,2MNXZRtPBskqyHtNTdKFjA,2003JURI,lu,1,,,50,50,https://www.spotifycharts.com/regional/lu/daily/2020-07-03
64,2021-09-03,2055,Sleepy Hallow,1051,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,1,,,64,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-03
57,2021-09-04,2055,Sleepy Hallow,1001,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,2,1.0,64.0,57,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-04
30,2021-09-17,2055,Sleepy Hallow,1403,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,3,1.0,,30,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-17
24,2021-09-24,2055,Sleepy Hallow,1477,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,4,1.0,,24,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-24
33,2021-10-22,2055,Sleepy Hallow,1199,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,5,1.0,,24,64,https://www.spotifycharts.com/regional/lu/daily/2021-10-22
32,2020-08-07,24 Stunden,Samra,1178,7LCElzlYw3myTHvC2MQWve,24 StundenSamra,lu,1,,,32,32,https://www.spotifycharts.com/regional/lu/daily/2020-08-07
20,2021-09-17,2CB,RAF Camora,1732,2r9gIpt17PhZv0y2nCpFHC,2CBRAF Camora,lu,1,,,20,20,https://www.spotifycharts.com/regional/lu/daily/2021-09-17
