chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,consecutive_weeks,previous_week,peak_position,worst_position
192,2021-05-27,#BrooklynBloodPop!,SyKo,8827,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,1,,,192,192
151,2021-06-03,#BrooklynBloodPop!,SyKo,10136,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,2,1.0,192.0,151,192
139,2021-06-10,#BrooklynBloodPop!,SyKo,10684,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,3,2.0,151.0,139,192
141,2021-06-17,#BrooklynBloodPop!,SyKo,10606,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,4,3.0,139.0,139,192
139,2021-06-24,#BrooklynBloodPop!,SyKo,10591,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,5,4.0,141.0,139,192
142,2021-07-01,#BrooklynBloodPop!,SyKo,10377,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,6,5.0,139.0,139,192
143,2021-07-08,#BrooklynBloodPop!,SyKo,9944,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,7,6.0,142.0,139,192
139,2021-07-15,#BrooklynBloodPop!,SyKo,9737,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,8,7.0,143.0,139,192
126,2021-07-22,#BrooklynBloodPop!,SyKo,9684,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,9,8.0,139.0,126,192
116,2021-07-29,#BrooklynBloodPop!,SyKo,10534,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,10,9.0,126.0,116,192
96,2021-08-05,#BrooklynBloodPop!,SyKo,11311,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,11,10.0,116.0,96,192
119,2021-08-12,#BrooklynBloodPop!,SyKo,9914,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,12,11.0,96.0,96,192
130,2021-08-19,#BrooklynBloodPop!,SyKo,9662,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,13,12.0,119.0,96,192
151,2021-08-26,#BrooklynBloodPop!,SyKo,9594,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,14,13.0,130.0,96,192
195,2021-09-16,#BrooklynBloodPop!,SyKo,8978,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ae,15,13.0,,96,195
200,2019-02-21,'Di Na Muli,Janine Teñoso,2196,3VQb0rq27GPX92X53Ni1Lc,'Di Na MuliJanine Teñoso,ae,1,,,200,200
