chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,consecutive_weeks,previous_week,peak_position,worst_position
58,2020-02-27,00:00 (Zero O’Clock),BTS,310286,4AlihYDqxXshKhvh5tnMfP,00:00 (Zero O’Clock)BTS,in,1,,,58.0,58.0
182,2020-03-05,00:00 (Zero O’Clock),BTS,160831,4AlihYDqxXshKhvh5tnMfP,00:00 (Zero O’Clock)BTS,in,2,1.0,58.0,58.0,182.0
40,2019-02-28,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,18715,4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker)YUNGBLUD,in,1,,,40.0,40.0
80,2019-03-07,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,51244,4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker)YUNGBLUD,in,2,1.0,40.0,40.0,80.0
97,2019-03-14,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,48378,4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker)YUNGBLUD,in,3,2.0,80.0,40.0,97.0
93,2019-03-21,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,49918,4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker)YUNGBLUD,in,4,3.0,97.0,40.0,97.0
197,2019-03-28,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,35279,4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker)YUNGBLUD,in,5,4.0,93.0,40.0,197.0
140,2020-03-12,2 Cheene,Khan Bhaini,177657,5fxWkzRSOyCH5i0pi6HHfu,2 CheeneKhan Bhaini,in,1,,,140.0,140.0
165,2020-03-19,2 Cheene,Khan Bhaini,162649,5fxWkzRSOyCH5i0pi6HHfu,2 CheeneKhan Bhaini,in,2,1.0,140.0,140.0,165.0
198,2020-07-30,2002,Anne-Marie,168545,2BgEsaKNfHUdlh97KmvFyo,2002Anne-Marie,in,1,,,198.0,198.0
