chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,instance,consecutive_weeks,previous_week,peak_position,worst_position,chart_url
140,2021-12-09,"+82 (Prod. Dynamicduo, THAMA)","Paloalto, GIRIBOY, Dynamicduo, JUSTHIS, lIlBOI, DJ Wegun",12980,2fDv60k440Zif7SzI6jXUw,"+82 (Prod. Dynamicduo, THAMA)Paloalto, GIRIBOY, Dynamicduo, JUSTHIS, lIlBOI, DJ Wegun",kr,1,1.0,,,140,140,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-12-09
51,2021-02-04,00:00 (Zero O’Clock),BTS,15184,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,1,1.0,,,51,51,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-02-04
98,2021-02-11,00:00 (Zero O’Clock),BTS,15274,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,2,1.0,1.0,51.0,51,98,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-02-11
154,2021-02-18,00:00 (Zero O’Clock),BTS,7513,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,3,1.0,2.0,98.0,51,154,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-02-18
173,2021-02-25,00:00 (Zero O’Clock),BTS,7153,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,4,1.0,3.0,154.0,51,173,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-02-25
175,2021-03-04,00:00 (Zero O’Clock),BTS,6641,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,5,1.0,4.0,173.0,51,175,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-03-04
149,2021-05-27,00:00 (Zero O’Clock),BTS,9949,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,6,2.0,,,51,175,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-05-27
119,2021-06-03,00:00 (Zero O’Clock),BTS,11758,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,7,2.0,1.0,149.0,51,175,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-06-03
155,2021-06-10,00:00 (Zero O’Clock),BTS,10557,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,8,2.0,2.0,119.0,51,175,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-06-10
181,2021-06-17,00:00 (Zero O’Clock),BTS,9698,4lFT5k1oh0tqa8HX6N2HC5,00:00 (Zero O’Clock)BTS,kr,9,2.0,3.0,155.0,51,181,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-06-17
19,2021-12-02,"08Basick (Feat. Yumdda, punchnello)","Basick, YUMDDA, punchnello",40319,0o420trQgUtPnbMgCEAEKi,"08Basick (Feat. Yumdda, punchnello)Basick, YUMDDA, punchnello",kr,1,1.0,,,19,19,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-12-02
39,2021-12-09,"08Basick (Feat. Yumdda, punchnello)","Basick, YUMDDA, punchnello",29316,0o420trQgUtPnbMgCEAEKi,"08Basick (Feat. Yumdda, punchnello)Basick, YUMDDA, punchnello",kr,2,1.0,1.0,19.0,19,39,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-12-09
22,2021-06-24,0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,38331,1Z8TPHiKeCUyClxV6WTTIf,0X1=LOVESONG (I Know I Love You) feat. SeoriTOMORROW X TOGETHER,kr,1,1.0,,,22,22,https://charts.spotify.com/charts/view/regional-kr-weekly/2021-06-24
