chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,consecutive_weeks,previous_week,peak_position,worst_position
93,2021-03-04,#OuDiriHakka,ElGrandeToto,23983,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,1,,,93,93
7,2021-03-11,#OuDiriHakka,ElGrandeToto,422110,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,2,1.0,93.0,7,93
9,2021-03-18,#OuDiriHakka,ElGrandeToto,170060,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,3,2.0,7.0,7,93
12,2021-03-25,#OuDiriHakka,ElGrandeToto,103228,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,4,3.0,9.0,7,93
15,2021-04-01,#OuDiriHakka,ElGrandeToto,85014,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,5,4.0,12.0,7,93
15,2021-04-08,#OuDiriHakka,ElGrandeToto,70515,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,6,5.0,15.0,7,93
20,2021-04-15,#OuDiriHakka,ElGrandeToto,51190,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,7,6.0,15.0,7,93
24,2021-04-22,#OuDiriHakka,ElGrandeToto,36369,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,8,7.0,20.0,7,93
26,2021-04-29,#OuDiriHakka,ElGrandeToto,35400,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,9,8.0,24.0,7,93
32,2021-05-06,#OuDiriHakka,ElGrandeToto,31275,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,10,9.0,26.0,7,93
56,2021-05-13,#OuDiriHakka,ElGrandeToto,30879,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,11,10.0,32.0,7,93
43,2021-05-20,#OuDiriHakka,ElGrandeToto,32074,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,12,11.0,56.0,7,93
51,2021-05-27,#OuDiriHakka,ElGrandeToto,30542,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,13,12.0,43.0,7,93
53,2021-06-03,#OuDiriHakka,ElGrandeToto,27853,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,14,13.0,51.0,7,93
62,2021-06-10,#OuDiriHakka,ElGrandeToto,25739,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,15,14.0,53.0,7,93
71,2021-06-17,#OuDiriHakka,ElGrandeToto,24242,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,16,15.0,62.0,7,93
77,2021-06-24,#OuDiriHakka,ElGrandeToto,24910,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,17,16.0,71.0,7,93
68,2021-07-01,#OuDiriHakka,ElGrandeToto,25896,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,18,17.0,77.0,7,93
67,2021-07-08,#OuDiriHakka,ElGrandeToto,25459,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,19,18.0,68.0,7,93
71,2021-07-15,#OuDiriHakka,ElGrandeToto,25482,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,20,19.0,67.0,7,93
83,2021-07-22,#OuDiriHakka,ElGrandeToto,24656,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,21,20.0,71.0,7,93
83,2021-07-29,#OuDiriHakka,ElGrandeToto,23714,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,22,21.0,83.0,7,93
95,2021-08-05,#OuDiriHakka,ElGrandeToto,23082,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,23,22.0,83.0,7,95
89,2021-08-12,#OuDiriHakka,ElGrandeToto,22935,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,24,23.0,95.0,7,95
95,2021-08-19,#OuDiriHakka,ElGrandeToto,21631,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,25,24.0,89.0,7,95
95,2021-08-26,#OuDiriHakka,ElGrandeToto,21485,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,26,25.0,95.0,7,95
100,2021-09-02,#OuDiriHakka,ElGrandeToto,21536,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,27,26.0,95.0,7,100
103,2021-09-09,#OuDiriHakka,ElGrandeToto,21018,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,28,27.0,100.0,7,103
106,2021-09-16,#OuDiriHakka,ElGrandeToto,19643,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,29,28.0,103.0,7,106
103,2021-09-23,#OuDiriHakka,ElGrandeToto,19775,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,30,29.0,106.0,7,106
107,2021-09-30,#OuDiriHakka,ElGrandeToto,18929,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,31,30.0,103.0,7,107
124,2021-10-07,#OuDiriHakka,ElGrandeToto,16976,60pu49evZxVC6owa2DBtS9,#OuDiriHakkaElGrandeToto,ma,32,31.0,107.0,7,124
169,2018-11-22,'Till I Collapse,Eminem,1453,4xkOaSrkexMciUUogZKVTS,'Till I CollapseEminem,ma,1,,,169,169
186,2018-12-06,'Till I Collapse,Eminem,1452,4xkOaSrkexMciUUogZKVTS,'Till I CollapseEminem,ma,2,,,169,186
180,2018-12-13,'Till I Collapse,Eminem,1584,4xkOaSrkexMciUUogZKVTS,'Till I CollapseEminem,ma,3,1.0,186.0,169,186
179,2018-12-20,'Till I Collapse,Eminem,1526,4xkOaSrkexMciUUogZKVTS,'Till I CollapseEminem,ma,4,2.0,180.0,169,186
193,2019-01-03,'Till I Collapse,Eminem,1458,4xkOaSrkexMciUUogZKVTS,'Till I CollapseEminem,ma,5,2.0,,169,193
179,2020-01-23,'Till I Collapse,Eminem,6043,4xkOaSrkexMciUUogZKVTS,'Till I CollapseEminem,ma,6,2.0,,169,193
93,2018-12-27,...,Don Bigg,2267,1h2PcYeuP3DMwrPSxV0b76,...Don Bigg,ma,1,,,93,93
116,2019-01-03,...,Don Bigg,2050,1h2PcYeuP3DMwrPSxV0b76,...Don Bigg,ma,2,1.0,93.0,93,116
