chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,instance,consecutive_weeks,previous_week,peak_position,worst_position,chart_url
89,2021-05-13,#BrooklynBloodPop!,SyKo,112023,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ru,1,1.0,,,89,89,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-05-13
102,2021-05-20,#BrooklynBloodPop!,SyKo,111523,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ru,2,1.0,1.0,89.0,89,102,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-05-20
158,2021-05-27,#BrooklynBloodPop!,SyKo,96210,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ru,3,1.0,2.0,102.0,89,158,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-05-27
6,2021-04-29,(Не)идеальна,Egor Kreed,328103,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,1,1.0,,,6,6,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-04-29
33,2021-05-06,(Не)идеальна,Egor Kreed,205428,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,2,1.0,1.0,6.0,6,33,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-05-06
49,2021-05-13,(Не)идеальна,Egor Kreed,155827,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,3,1.0,2.0,33.0,6,49,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-05-13
69,2021-05-20,(Не)идеальна,Egor Kreed,138509,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,4,1.0,3.0,49.0,6,69,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-05-20
107,2021-05-27,(Не)идеальна,Egor Kreed,116763,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,5,1.0,4.0,69.0,6,107,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-05-27
156,2021-06-03,(Не)идеальна,Egor Kreed,98995,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,6,1.0,5.0,107.0,6,156,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-06-03
183,2021-06-10,(Не)идеальна,Egor Kreed,89065,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,7,1.0,6.0,156.0,6,183,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-06-10
181,2021-06-17,(Не)идеальна,Egor Kreed,85744,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ru,8,1.0,7.0,183.0,6,183,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-06-17
2,2021-03-18,+44,lil krystalll,407337,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ru,1,1.0,,,2,2,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-03-18
12,2021-03-25,+44,lil krystalll,266141,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ru,2,1.0,1.0,2.0,2,12,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-03-25
32,2021-04-01,+44,lil krystalll,201321,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ru,3,1.0,2.0,12.0,2,32,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-04-01
50,2021-04-08,+44,lil krystalll,162724,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ru,4,1.0,3.0,32.0,2,50,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-04-08
68,2021-04-15,+44,lil krystalll,137497,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ru,5,1.0,4.0,50.0,2,68,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-04-15
75,2021-04-22,+44,lil krystalll,120787,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ru,6,1.0,5.0,68.0,2,75,https://charts.spotify.com/charts/view/regional-ru-weekly/2021-04-22
