chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,instance,consecutive_weeks,previous_week,peak_position,worst_position,chart_url
97,2021-05-13,#BrooklynBloodPop!,SyKo,22557,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,1,1.0,,,97,97,https://charts.spotify.com/charts/view/regional-ua-weekly/2021-05-13
105,2021-05-20,#BrooklynBloodPop!,SyKo,22598,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,2,1.0,1.0,97.0,97,105,https://charts.spotify.com/charts/view/regional-ua-weekly/2021-05-20
165,2021-05-27,#BrooklynBloodPop!,SyKo,20758,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,3,1.0,2.0,105.0,97,165,https://charts.spotify.com/charts/view/regional-ua-weekly/2021-05-27
198,2021-06-03,#BrooklynBloodPop!,SyKo,18811,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,4,1.0,3.0,165.0,97,198,https://charts.spotify.com/charts/view/regional-ua-weekly/2021-06-03
64,2020-08-06,#Бомба_ракета_пушка_граната,Jerry Heil,18355,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,1,1.0,,,64,64,https://charts.spotify.com/charts/view/regional-ua-weekly/2020-08-06
104,2020-08-13,#Бомба_ракета_пушка_граната,Jerry Heil,14456,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,2,1.0,1.0,64.0,64,104,https://charts.spotify.com/charts/view/regional-ua-weekly/2020-08-13
142,2020-08-20,#Бомба_ракета_пушка_граната,Jerry Heil,12188,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,3,1.0,2.0,104.0,64,142,https://charts.spotify.com/charts/view/regional-ua-weekly/2020-08-20
196,2020-08-27,#Бомба_ракета_пушка_граната,Jerry Heil,10031,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,4,1.0,3.0,142.0,64,196,https://charts.spotify.com/charts/view/regional-ua-weekly/2020-08-27
142,2021-04-15,#ДЕВОЧКА_ЛЮБОВЬ,Jerry Heil,19452,2KEobiQP8NO7241XdehCak,#ДЕВОЧКА_ЛЮБОВЬJerry Heil,ua,1,1.0,,,142,142,https://charts.spotify.com/charts/view/regional-ua-weekly/2021-04-15
173,2021-04-22,#ДЕВОЧКА_ЛЮБОВЬ,Jerry Heil,17577,2KEobiQP8NO7241XdehCak,#ДЕВОЧКА_ЛЮБОВЬJerry Heil,ua,2,1.0,1.0,142.0,142,173,https://charts.spotify.com/charts/view/regional-ua-weekly/2021-04-22
