chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,consecutive_weeks,previous_week,peak_position,worst_position
97,2021-05-13,#BrooklynBloodPop!,SyKo,22557,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,1,,,97.0,97.0
105,2021-05-20,#BrooklynBloodPop!,SyKo,22598,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,2,1.0,97.0,97.0,105.0
165,2021-05-27,#BrooklynBloodPop!,SyKo,20758,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,3,2.0,105.0,97.0,165.0
198,2021-06-03,#BrooklynBloodPop!,SyKo,18811,7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!SyKo,ua,4,3.0,165.0,97.0,198.0
64,2020-08-06,#Бомба_ракета_пушка_граната,Jerry Heil,18355,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,1,,,64.0,64.0
104,2020-08-13,#Бомба_ракета_пушка_граната,Jerry Heil,14456,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,2,1.0,64.0,64.0,104.0
142,2020-08-20,#Бомба_ракета_пушка_граната,Jerry Heil,12188,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,3,2.0,104.0,64.0,142.0
196,2020-08-27,#Бомба_ракета_пушка_граната,Jerry Heil,10031,3PbZk4oUXhg5W5s3hzLAie,#Бомба_ракета_пушка_гранатаJerry Heil,ua,4,3.0,142.0,64.0,196.0
142,2021-04-15,#ДЕВОЧКА_ЛЮБОВЬ,Jerry Heil,19452,2KEobiQP8NO7241XdehCak,#ДЕВОЧКА_ЛЮБОВЬJerry Heil,ua,1,,,142.0,142.0
173,2021-04-22,#ДЕВОЧКА_ЛЮБОВЬ,Jerry Heil,17577,2KEobiQP8NO7241XdehCak,#ДЕВОЧКА_ЛЮБОВЬJerry Heil,ua,2,1.0,142.0,142.0,173.0
153,2020-08-20,$till Trappin ( Freestyle ),LIL MORTY,11671,0COXR0yXiLCDEep2DMFv4T,$till Trappin ( Freestyle )LIL MORTY,ua,1,,,153.0,153.0
32,2021-04-29,(Не)идеальна,Egor Kreed,37932,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ua,1,,,32.0,32.0
74,2021-05-06,(Не)идеальна,Egor Kreed,24713,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ua,2,1.0,32.0,32.0,74.0
134,2021-05-13,(Не)идеальна,Egor Kreed,20212,4td0GwMmapEdpV2g5C2l9K,(Не)идеальнаEgor Kreed,ua,3,2.0,74.0,32.0,134.0
4,2021-03-18,+44,lil krystalll,70685,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,1,,,4.0,4.0
26,2021-03-25,+44,lil krystalll,45663,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,2,1.0,4.0,4.0,26.0
40,2021-04-01,+44,lil krystalll,35391,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,3,2.0,26.0,4.0,40.0
63,2021-04-08,+44,lil krystalll,28558,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,4,3.0,40.0,4.0,63.0
101,2021-04-15,+44,lil krystalll,23069,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,5,4.0,63.0,4.0,101.0
118,2021-04-22,+44,lil krystalll,21184,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,6,5.0,101.0,4.0,118.0
128,2021-04-29,+44,lil krystalll,20000,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,7,6.0,118.0,4.0,128.0
165,2021-05-06,+44,lil krystalll,18283,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,8,7.0,128.0,4.0,165.0
170,2021-05-13,+44,lil krystalll,17453,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,9,8.0,165.0,4.0,170.0
167,2021-05-20,+44,lil krystalll,18427,1ngGGsWzGONyiOlxdXRDr7,+44lil krystalll,ua,10,9.0,170.0,4.0,170.0
